TurId;Dato;Fylke;Område;Kommune;Holdeplass_Fra;Holdeplass_Til;Linjetype;Linjefylke;Linjenavn;Linjeretning;Tidspunkt_Faktisk_Ankomst_Holdeplass_Fra;Tidspunkt_Faktisk_Avgang_Holdeplass_Fra;Tidspunkt_Planlagt_Ankomst_Holdeplass_Fra;Tidspunkt_Planlagt_Avgang_Holdeplass_Fra;Kjøretøy_Kapasitet;Passasjerer_Ombord
15006-2020-08-10T10:24:00+02:00;10/08/2020;Viken;Vest;Bærum;Nordliveien;Tjernsmyr;Lokal;Viken;150;0;10:53:53;10:53:59;10:53:00;10:53:00;112;5
15002-2020-08-15T12:54:00+02:00;15/08/2020;Viken;Vest;Bærum;Nadderud stadion;Bekkestua bussterminal (Plattform C);Lokal;Viken;150;0;13:12:20;13:12:26;13:12:00;13:12:00;112;5
15004-2020-08-03T09:54:00+02:00;03/08/2020;Viken;Vest;Bærum;Ringstabekkveien;Skallum;Lokal;Viken;150;0;10:18:56;10:19:21;10:19:00;10:19:00;112;6
15003-2020-07-27T13:00:00+02:00;27/07/2020;Viken;Vest;Bærum;Gruvemyra;Gullhaug;Lokal;Viken;150;1;13:52:04;13:52:26;13:51:00;13:51:00;112;10
15002-2020-08-27T07:15:00+02:00;27/08/2020;Viken;Vest;Bærum;Lysaker stasjon (Plattform A);Tjernsmyr;Lokal;Viken;150;1;07:34:13;07:34:53;07:33:00;07:33:00;112;10
3110-2020-08-01T16:16:00+02:00;01/08/2020;Oslo;Nordøst;Bjerke;Veitvet  (mot Kalbakken);Rødtvet  (mot Kalbakken);Lokal;Oslo;31;0;17:22:56;17:23:23;17:16:00;17:16:00;151;8
15010-2020-07-28T13:09:00+02:00;28/07/2020;Viken;Vest;Bærum;Nedre Toppenhaug;Øvre Toppenhaug;Lokal;Viken;150;0;13:19:00;13:19:05;13:17:00;13:17:00;112;1
15003-2020-07-27T06:18:00+02:00;27/07/2020;Oslo;Indre By;St.Hanshaugen;Hammersborggata (ved Storgata retning vest);St. Olavs plass  (mot Frederiks gate);Lokal;Viken;150;1;06:20:24;06:20:29;06:20:00;06:20:00;112;-1
21002-2020-08-16T14:33:00+02:00;16/08/2020;Viken;Vest;Bærum;Stein gård;Knabberudveien;Lokal;Viken;150;1;15:10:12;15:10:34;15:09:00;15:09:00;112;2
15002-2020-08-13T18:09:00+02:00;13/08/2020;Viken;Vest;Bærum;Bekkestua bussterminal (Plattform C);Stabekk skole;Lokal;Viken;150;0;18:37:41;18:38:19;18:29:00;18:29:00;112;4
49005-2020-06-23T21:30:00+02:00;23/06/2020;Viken;Sør;Indre Østfold;Fjell;Langholen;Lokal;Viken;490;1;22:14:07;22:14:09;22:09:00;22:09:00;106;1
21005-2020-08-17T17:55:00+02:00;17/08/2020;Viken;Vest;Bærum;Haslum skole;Griniveien;Lokal;Viken;150;1;18:35:31;18:35:56;18:29:00;18:29:00;112;-2
3105-2020-07-27T00:16:00+02:00;26/07/2020;Oslo;Indre By;Sentrum;Hausmanns bru (fra sentrum);Sars gate (fra sentrum);Lokal;Oslo;31;0;24:48:41;24:50:36;24:50:00;24:50:00;151;0
15001-2020-08-06T17:00:00+02:00;06/08/2020;Viken;Vest;Bærum;Ringstabekkveien;Stabekk skole;Lokal;Viken;150;1;17:35:07;17:35:29;17:26:00;17:26:00;112;10
15005-2020-07-17T18:00:00+02:00;17/07/2020;Viken;Vest;Bærum;Nadderud stadion;Øygardveien;Lokal;Viken;150;1;18:34:40;18:34:45;18:34:00;18:34:00;112;9
15003-2020-08-08T19:18:00+02:00;08/08/2020;Viken;Vest;Bærum;Guldbrandslia;Sleiverudåsen;Lokal;Viken;150;1;20:04:55;20:05:01;20:02:00;20:02:00;112;-2
43111-2020-06-16T07:12:00+02:00;16/06/2020;Viken;Nordøst;Ullensaker;Furuset;Furuset kirke;Skole;Viken;3772;0;07:22:42;07:22:46;07:23:00;07:23:00;71;6
15002-2020-07-28T22:18:00+02:00;28/07/2020;Viken;Vest;Bærum;Steinskogen gravlund;Stein gård;Lokal;Viken;150;1;22:54:18;22:54:22;22:53:00;22:53:00;112;-5
15002-2020-08-03T21:24:00+02:00;03/08/2020;Oslo;Indre By;Sentrum;Nationaltheatret (plf F i Munkedamsv m Stortingsg);St. Olavs plass  (mot Storgata);Lokal;Viken;150;0;22:11:36;22:11:41;22:04:00;22:04:00;112;-7
43004-2020-07-16T05:40:00+02:00;16/07/2020;Viken;Nordøst;Eidsvoll;Sandhølet;Ladderud;Lokal;Viken;430;0;06:07:13;06:07:16;06:04:00;06:04:00;106;5
43003-2020-06-27T14:10:00+02:00;27/06/2020;Viken;Nordøst;Eidsvoll;Ladderud;Furulundjordet;Lokal;Viken;430;0;14:36:50;14:37:16;14:34:00;14:34:00;106;9
43003-2020-06-12T06:25:00+02:00;12/06/2020;Viken;Nordøst;Eidsvoll;Fagerli;Holstangen;Lokal;Viken;430;1;07:12:53;07:12:58;07:10:00;07:10:00;106;3
43003-2020-06-03T14:10:00+02:00;03/06/2020;Viken;Nordøst;Eidsvoll;Holstangen;Eidsvoll stasjon (Plattform 4);Lokal;Viken;430;0;14:13:26;14:13:30;14:12:00;14:12:00;106;10
43005-2020-08-25T12:25:00+02:00;25/08/2020;Viken;Nordøst;Eidsvoll;Baker Gulbrandsen;Råholt senter;Lokal;Viken;430;1;12:54:02;12:54:06;12:54:00;12:54:00;106;6
43003-2020-06-30T06:25:00+02:00;30/06/2020;Viken;Nordøst;Eidsvoll;Dal skole;Movegen;Lokal;Viken;430;1;06:48:31;06:49:05;06:48:00;06:48:00;106;5
39006-2020-08-11T06:47:00+02:00;11/08/2020;Viken;Nordøst;Lørenskog;Finstadlia;Finstadsletta;Ekspress;Viken;110E;0;06:48:46;06:48:49;06:48:00;06:48:00;115;1
43001-2020-07-28T05:25:00+02:00;28/07/2020;Viken;Nordøst;Eidsvoll;Dønnum slakteri;Brennsmork;Lokal;Viken;430;1;06:04:40;06:04:44;06:04:00;06:04:00;106;6
25003-2020-07-22T09:20:00+02:00;22/07/2020;Viken;Vest;Asker;Bleikerhaugen;Askerhallen;Lokal;Viken;260;1;09:24:36;09:24:41;09:24:00;09:24:00;112;0
26115-2020-07-27T20:42:00+02:00;27/07/2020;Viken;Vest;Asker;Dambo;Prestenga;Lokal;Viken;260;0;21:04:02;21:04:09;21:04:00;21:04:00;112;2
43006-2020-08-14T19:40:00+02:00;14/08/2020;Viken;Nordøst;Ullensaker;Nygård;Li;Lokal;Viken;430;0;20:23:22;20:23:26;20:20:00;20:20:00;106;11
26120-2020-08-14T08:41:00+02:00;14/08/2020;Viken;Vest;Asker;Torsrudveien;Bølstad terrasse;Lokal;Viken;261;0;09:07:06;09:07:09;09:07:00;09:07:00;112;-3
43003-2020-08-02T09:25:00+02:00;02/08/2020;Viken;Nordøst;Eidsvoll;Eidsvoll verk;Dønnum slakteri;Lokal;Viken;430;1;10:03:56;10:04:00;10:03:00;10:03:00;106;1
43002-2020-07-13T12:25:00+02:00;13/07/2020;Viken;Nordøst;Eidsvoll;Eidsvoll verk stasjon (Plattform 1);Håpet;Lokal;Viken;430;1;13:03:44;13:04:27;12:56:00;12:56:00;106;9
43008-2020-06-09T13:55:00+02:00;09/06/2020;Viken;Nordøst;Eidsvoll;Myrer;Hammerstad;Lokal;Viken;430;0;14:08:27;14:08:32;14:02:00;14:02:00;106;36
38004-2020-06-18T06:47:00+02:00;18/06/2020;Viken;Nordøst;Lørenskog;Finstadlia;Finstadsletta;Ekspress;Viken;110E;0;06:48:17;06:48:39;06:48:00;06:48:00;115;1
43004-2020-06-02T08:55:00+02:00;02/06/2020;Viken;Nordøst;Ullensaker;Vardekrysset (Dal);Dal stasjon;Lokal;Viken;430;1;09:14:05;09:15:51;09:14:00;09:14:00;106;-8
25026-2020-08-03T14:35:00+02:00;03/08/2020;Viken;Vest;Asker;Skjæret;Sjøvollveien;Lokal;Viken;260;0;15:16:02;15:16:10;15:15:00;15:15:00;112;2
38008-2020-07-30T06:07:00+02:00;30/07/2020;Viken;Nordøst;Lørenskog;Triaden ( Gamlevn.);Vallerudveien;Ekspress;Viken;110E;0;06:10:56;06:11:18;06:11:00;06:11:00;115;8
10008-2020-08-09T11:24:00+02:00;09/08/2020;Viken;Nordøst;Lillestrøm;Sagdalen;Sagdalen skole;Lokal;Viken;100;0;11:38:58;11:39:06;11:38:00;11:38:00;151;1
12013-2020-06-02T13:56:00+02:00;02/06/2020;Viken;Nordøst;Rælingen;Dovre fabrikker;Rælingen rådhus;Lokal;Viken;310;1;14:29:10;14:29:34;14:29:00;14:29:00;72;-6
12014-2020-07-01T09:56:00+02:00;01/07/2020;Viken;Nordøst;Lillestrøm;Stasjonsveien;Frydenbergveien;Lokal;Viken;310;1;10:14:36;10:15:00;10:15:00;10:15:00;72;2
12004-2020-07-16T19:56:00+02:00;16/07/2020;Viken;Nordøst;Lørenskog;Vittenberg;Strømsbergveien;Lokal;Viken;310;1;20:12:37;20:12:42;20:13:00;20:13:00;72;6
10004-2020-08-18T04:59:00+02:00;18/08/2020;Oslo;Nordøst;Alna;IKEA Furuset  (mot Kjelsrud);Kjelsrud  (fra Furuset);Lokal;Viken;100;0;05:42:09;05:42:18;05:42:00;05:42:00;151;0
10009-2020-07-21T01:00:00+02:00;20/07/2020;Viken;Nordøst;Lørenskog;Vittenberg;Strømsbergveien;Lokal;Viken;100;1;25:45:48;25:45:54;25:40:00;25:40:00;151;7
34029-2020-08-14T09:01:00+02:00;14/08/2020;Viken;Nordøst;Lillestrøm;Kjeller;Vestengveien;Lokal;Viken;340;1;09:11:25;09:12:37;09:12:00;09:12:00;105;0
34025-2020-07-15T10:50:00+02:00;15/07/2020;Viken;Nordøst;Lillestrøm;Tandberg;Kjeller bru;Lokal;Viken;340;0;11:04:45;11:04:49;10:59:00;10:59:00;105;0
10004-2020-07-04T18:24:00+02:00;04/07/2020;Viken;Nordøst;Lillestrøm;UTGÅTT Lillestrøm bussterminal (P 19a);Jonas Lies gate;Lokal;Viken;100;0;18:34:37;18:35:32;18:33:00;18:33:00;151;13
